Columns,Question,Options,OptionsSet2,Response,Question type
Respondent_Serial,Respondents,Respondent,,,Single punch
S2,Age,Age,,,Single punch
S3,Gender,Gender,,123,
HHI,Household Income,Household Income,,"1,2,3,4,5,6,7,8,9,10,11,12,13",Single punch
S51,Critical industry,"Mass media (TV Station, Press, Radio)",,1,Multi punch
S52,Critical industry,Marketing research / Consulting,,2,Multi punch
S53,Critical industry,Advertising / Public Relations,,3,Multi punch
S54,Critical industry,Manufacturer / Distributor / Retailer of alcoholic or non-alcoholic beverages,,4,Multi punch
S55,Critical industry,Financial industry,,5,Multi punch
S56,Critical industry,Bar / Pub / Restaurant,,6,Multi punch
S57,Critical industry,None of these,,7,Multi punch
S6,Ethinicity,Ethinicity,,1,Multi punch
S7,Survey Day,What day is it today?,,"1,2,3,4,5,6,7",Single punch
S8_Beer,"In the past 30 days, did you drink…? ",Beer,,1,Multi punch
S8_Wineany,"In the past 30 days, did you drink…? ","Wine (any type red, white, rosé) or Champagne",,2,Multi punch
S8_HardCider,"In the past 30 days, did you drink…? ",Hard Cider,,3,Multi punch
S8_ReadytoDrink,"In the past 30 days, did you drink…? ","Ready to Drink / Premixed Alcoholic Beverage in can, bottle, pouch e.g. Hard Tea, Hard Soda, Ready to drink cocktail (excluding Hard Seltzer)",,4,Multi punch
S8_Nonalco,"In the past 30 days, did you drink…? ",Non-alcoholic Beer,,5,Multi punch
S8_HardSeltzer,"In the past 30 days, did you drink…? ",Hard Seltzer (e.g. Spiked sparkling water with a hint of flavor),,6,Multi punch
S8_Specialty,"In the past 30 days, did you drink…? ",Specialty Cocktail with multiple ingredients ,,7,Multi punch
S8_Anydistilled,"In the past 30 days, did you drink…? ",Any distilled spirit (either alone or in mixed drink),,8,Multi punch
P30D_Alcohol,"In the past 30 days, did you drink…? ",,,,
S9_Beer,"In the past 7 days, did you drink…? ",Beer,,1,Multi punch
S9_Wineany,"In the past 7 days, did you drink…? ","Wine (any type red, white, rosé) or Champagne",,2,Multi punch
S9_HardCider,"In the past 7 days, did you drink…? ",Hard Cider,,3,Multi punch
S9_ReadytoDrink,"In the past 7 days, did you drink…? ","Ready to Drink / Premixed Alcoholic Beverage in can, bottle, pouch e.g. Hard Tea, Hard Soda, Ready to drink cocktail (excluding Hard Seltzer)",,4,Multi punch
S9_Nonalco,"In the past 7 days, did you drink…? ",Non-alcoholic Beer,,5,Multi punch
S9_HardSeltzer,"In the past 7 days, did you drink…? ",Hard Seltzer (e.g. Spiked sparkling water with a hint of flavor),,6,Multi punch
S9_Specialty,"In the past 7 days, did you drink…? ",Specialty Cocktail with multiple ingredients ,,7,Multi punch
S9_Anydistilled,"In the past 7 days, did you drink…? ",Any distilled spirit (either alone or in mixed drink),,8,Multi punch
DeepDive_Qualify,"In the past 7 days, did you drink…? ",,,,
A1Order,"In the past 7 days, did you drink…? ",,,,
A1_A1_1,Lifestyle attitudes ,A college education is essential to success,A college education is not essential to success,"1,2,3,4",Slider scale with statement pairs
A1_A1_2,Lifestyle attitudes ,I prefer to spend money on experiences,I prefer to spend money on physical items,"1,2,3,4",Slider scale with statement pairs
A1_A1_3,Lifestyle attitudes ,"I love exploring new restaurants, pubs, bars, and clubs",I prefer to go to pubs or clubs that I know and like,"1,2,3,4",Slider scale with statement pairs
A1_A1_4,Lifestyle attitudes ,I like to blend in with the crowd,I like to stand out,"1,2,3,4",Slider scale with statement pairs
A1_A1_5,Lifestyle attitudes ,I feel financially secure,I worry about money,"1,2,3,4",Slider scale with statement pairs
A1_A1_6,Lifestyle attitudes ,I often make decisions that prioritize my health,I do not let health get in the way of what I want to do,"1,2,3,4",Slider scale with statement pairs
A1_A1_7,Lifestyle attitudes ,I feel that American culture is what matters the most,It is important to celebrate all cultures,"1,2,3,4",Slider scale with statement pairs
A1_A1_8,Lifestyle attitudes ,I turn to my favorite celebrities / influencers for inspiration on the latest products,I do not care about what products celebrities / influencers recommend,"1,2,3,4",Slider scale with statement pairs
A1_A1_9,Lifestyle attitudes ,I live in the moment,I always try to plan ahead,"1,2,3,4",Slider scale with statement pairs
A1_A1_10,Lifestyle attitudes ,I like going out to party,I prefer to chill at home,"1,2,3,4",Slider scale with statement pairs
A1_A1_11,Lifestyle attitudes ,I frequently organize events or host people,I do not frequently organize events or host people,"1,2,3,4",Slider scale with statement pairs
A1_A1_12,Lifestyle attitudes ,I prefer to engage in the real world,I prefer to engage in the digital world,"1,2,3,4",Slider scale with statement pairs
A1_A1_13,Lifestyle attitudes ,I rarely venture outside of my direct community,I travel whenever I get the chance,"1,2,3,4",Slider scale with statement pairs
A1_A1_14,Lifestyle attitudes ,I like to spend my free time exploring cities / towns,I like to explore the outdoors and breathe fresh air,"1,2,3,4",Slider scale with statement pairs
A1_A1_15,Lifestyle attitudes ,Right now I prefer to protect my work / life balance,Right now I prefer to work as hard as possible,"1,2,3,4",Slider scale with statement pairs
A2_AuthenticityBeingtru,Life values ,Authenticity - Being true to yourself,,"1,2,3,4,5",Single punch
A2_CuriosityWantingtoex,Life values ,Curiosity - Wanting to explore and learn about new things,,"1,2,3,4,5",Single punch
A2_FreedomHavingfreedom,Life values ,Freedom - Having freedom of action and thought,,"1,2,3,4,5",Single punch
A2_OpenmindednessBeingb,Life values ,Open-mindedness - Being broad-minded,,"1,2,3,4,5",Single punch
A2_SimplicityKeepingyou,Life values ,Simplicity - Keeping your life and mind as uncluttered as possible,,"1,2,3,4,5",Single punch
A2_SelfrelianceBeingsel,Life values ,"Self-reliance - Being self-reliant, choosing your own goals",,"1,2,3,4,5",Single punch
A2_HavingfunHavingagood,Life values ,Having fun - Having a good time,,"1,2,3,4,5",Single punch
A2_DutyFulfillingobliga,Life values ,"Duty - Fulfilling obligations to family, community, and country",,"1,2,3,4,5",Single punch
A2_EqualityDesiringequa,Life values ,Equality - Desiring equal opportunity for all,,"1,2,3,4,5",Single punch
A2_FriendshipHavingclos,Life values ,"Friendship - Having close, supportive friends",,"1,2,3,4,5",Single punch
A2_Stablepersonalrelati,Life values ,Stable personal relationships - Maintaining a long-term commitment to friends and loved ones,,"1,2,3,4,5",Single punch
A2_TraditionPreservingt,Life values ,Tradition - Preserving time-honored customs,,"1,2,3,4,5",Single punch
A2_IndividualityBeingdi,Life values ,Individuality - Being different from others,,"1,2,3,4,5",Single punch
A2_StatusAchievingahigh,Life values ,Status - Achieving a higher social status,,"1,2,3,4,5",Single punch
A2_WorkinghardAlwaysgiv,Life values ,Working hard - Always giving your best effort,,"1,2,3,4,5",Single punch
A2_HealthandFitnessMaki,Life values ,Health and Fitness - Making an effort to be in good physical and mental shape,,"1,2,3,4,5",Single punch
A3Order,Life values ,,,,
A3_A3_1,Alcohol attitudes,Creative,Pragmatic,"1,2,3,4",Slider scale with statement pairs
A3_A3_2,Alcohol attitudes,Competitive,Collaborative,"1,2,3,4",Slider scale with statement pairs
A3_A3_3,Alcohol attitudes,Innocent,Worldly,"1,2,3,4",Slider scale with statement pairs
A3_A3_4,Alcohol attitudes,Adventurous,Responsible,"1,2,3,4",Slider scale with statement pairs
A3_A3_5,Alcohol attitudes,Proud,Humble,"1,2,3,4",Slider scale with statement pairs
A3_A3_6,Alcohol attitudes,Courageous,Cautious,"1,2,3,4",Slider scale with statement pairs
A3_A3_7,Alcohol attitudes,Serious,Playful,"1,2,3,4",Slider scale with statement pairs
A3_A3_8,Alcohol attitudes,Optimistic,Realistic,"1,2,3,4",Slider scale with statement pairs
A3_A3_9,Alcohol attitudes,Street smart,Book smart,"1,2,3,4",Slider scale with statement pairs
A3_A3_10,Alcohol attitudes,Comfortable,Ambitious,"1,2,3,4",Slider scale with statement pairs
A3_A3_11,Alcohol attitudes,Formal,Casual,"1,2,3,4",Slider scale with statement pairs
A3_A3_12,Alcohol attitudes,Loud,Understated,"1,2,3,4",Slider scale with statement pairs
A3_A3_13,Alcohol attitudes,Sophisticated,Down-to-earth,"1,2,3,4",Slider scale with statement pairs
A4_Ilikealcoholbrandsth,Alcohol attitudes,I like alcohol brands that have tradition and heritage,,"1,2,3,4,5",Single punch
A4_Ipreferalcoholofferi,Alcohol attitudes,I prefer alcohol offerings that do not affect me the next day ,,"1,2,3,4,5",Single punch
A4_Iampriceconsciouswhe,Alcohol attitudes,I am price conscious when purchasing alcohol,,"1,2,3,4,5",Single punch
A4_Iliketopairalcoholic,Alcohol attitudes,I like to pair alcoholic drinks with my food,,"1,2,3,4,5",Single punch
A4_Idrinkalcoholforitse,Alcohol attitudes,"I drink alcohol for its effect, not its taste",,"1,2,3,4,5",Single punch
A4_Iliketodiscovernewty,Alcohol attitudes,I like to discover new types and brands of alcoholic beverages,,"1,2,3,4,5",Single punch
A4_Ilookforalcoholicbev,Alcohol attitudes,"I look for alcoholic beverages that are non-GMO, organic, natural, etc.",,"1,2,3,4,5",Single punch
A4_Ichoosemyalcoholicbe,Alcohol attitudes,I choose my alcoholic beverage based on its calories,,"1,2,3,4,5",Single punch
A4_Iconsidermyselfsomeo,Alcohol attitudes,I consider myself someone who knows a lot about alcoholic beverages,,"1,2,3,4,5",Single punch
A4_Differentoccasionsca,Alcohol attitudes,Different occasions call for different kinds of alcohol,,"1,2,3,4,5",Single punch
A4_Itendtodrinkthesamea,Alcohol attitudes,I tend to drink the same alcoholic beverage all night long,,"1,2,3,4,5",Single punch
A4_Ipreferdrinkswithhig,Alcohol attitudes,I prefer drinks with higher alcohol content,,"1,2,3,4,5",Single punch
A4_Ifeelthatthehigherth,Alcohol attitudes,"I feel that the higher the price of an alcoholic beverage, the higher the quality",,"1,2,3,4,5",Single punch
A5_Iliketoexploreanddis,Shopping attitudes ,I like to explore and discover new products when shopping,,"1,2,3,4,5",Single punch
A5_IshopatplacesItrustt,Shopping attitudes ,I shop at places I trust to provide good quality,,"1,2,3,4,5",Single punch
A5_Itisimportantformeto,Shopping attitudes ,It is important for me to stick to a budget,,"1,2,3,4,5",Single punch
A5_Ireadlabelscloselyon,Shopping attitudes ,I read labels closely on products I purchase,,"1,2,3,4,5",Single punch
A5_Ihavefunandenjoydoin,Shopping attitudes ,I have fun and enjoy doing my alcoholic beverage shopping,,"1,2,3,4,5",Single punch
A5_Iwantastressfreeshop,Shopping attitudes ,I want a stress-free shopping experience,,"1,2,3,4,5",Single punch
A5_Ifinditeasiertoshopf,Shopping attitudes ,I find it easier to shop for alcoholic beverages online versus having to go to a store,,"1,2,3,4,5",Single punch
A5_Iliketogetmyshopping,Shopping attitudes ,I like to get my shopping done as quickly as possible,,"1,2,3,4,5",Single punch
A5_Itendtodoresearchbef,Shopping attitudes ,I tend to do research before deciding what to buy,,"1,2,3,4,5",Single punch
A5_Iliketoshopataretail,Shopping attitudes ,I like to shop at a retailer where I can order alcoholic beverage items online and pick up later at the store,,"1,2,3,4,5",Single punch
A5_Ialwayschoosethesame,Shopping attitudes ,I always choose the same brands / products I usually buy,,"1,2,3,4,5",Single punch
A5_Iliketogetallmyshopp,Shopping attitudes ,I like to get all my shopping done in one stop,,"1,2,3,4,5",Single punch
A5_AlwayshavingwhatIwan,Shopping attitudes ,Always having what I want in-stock is important,,"1,2,3,4,5",Single punch
A6,"In general, how often do you drink alcohol?",Frequency of alcohol consumption,,"1,2,3,4,5,6",Single punch
A7,"In general, how often do you drink alcohol?",Number of drinks per session,,"1,2,3",Single punch
A8_Beer,Preferred alcohol category,Beer,,"1,2,3,4,5,6,7",Single punch
A8_Wineany,Preferred alcohol category,"Wine (any type red, white, rosé) or Champagne",,"1,2,3,4,5,6,7",Single punch
A8_HardCider,Preferred alcohol category,Hard Cider,,"1,2,3,4,5,6,7",Single punch
A8_ReadytoDrink,Preferred alcohol category,"Ready to Drink / Premixed Alcoholic Beverage in can, bottle, pouch e.g. Hard Tea, Hard Soda, Ready to drink cocktail (excluding Hard Seltzer)",,"1,2,3,4,5,6,7",Single punch
A8_Nonalco,Preferred alcohol category,Non-alcoholic Beer,,"1,2,3,4,5,6,7",Single punch
A8_HardSeltzer,Preferred alcohol category,Hard Seltzer (e.g. Spiked sparkling water with a hint of flavor),,"1,2,3,4,5,6,7",Single punch
A8_Specialty,Preferred alcohol category,Specialty Cocktail with multiple ingredients,,"1,2,3,4,5,6,7",Single punch
A8_Anydistilled,Preferred alcohol category,Any distilled spirit (either alone or in mixed drink),,"1,2,3,4,5,6,7",Single punch
A9_LightBeer,Preferred beer category,Light Beer,,"1,2,3,4,5,6,7",Single punch
A9_RegularLagerPilsner,Preferred beer category,Regular Lager / Pilsner,,"1,2,3,4,5,6,7",Single punch
A9_WheatBeer,Preferred beer category,Wheat Beer,,"1,2,3,4,5,6,7",Single punch
A9_IPA,Preferred beer category,IPA,,"1,2,3,4,5,6,7",Single punch
A9_PaleAle,Preferred beer category,Pale Ale,,"1,2,3,4,5,6,7",Single punch
A9_StoutPorter,Preferred beer category,Stout / Porter,,"1,2,3,4,5,6,7",Single punch
A9_SourBeer,Preferred beer category,Sour Beer,,"1,2,3,4,5,6,7",Single punch
A9_AmberAle,Preferred beer category,Amber Ale,,"1,2,3,4,5,6,7",Single punch
A9_MaltBeerLiquor,Preferred beer category,Malt Beer / Liquor ,,"1,2,3,4,5,6,7",Single punch
ODD1,Most recent consumption day,Most recent consumption day,,,Single punch
relevant_day,,,,,
ODD21,Consumption locations,At your home,,,
ODD22,Consumption locations,At someone else's home,,,
ODD23,Consumption locations,"Outdoors (e.g., beach, lake, cabin / camping, pool, in transit)",,,
ODD24,Consumption locations,At a bar / pub,,,
ODD25,Consumption locations,At a lounge / nightclub,,,
ODD26,Consumption locations,At a restaurant,,,
ODD27,Consumption locations,"At an entertainment venue (e.g., casino, bowling alley, karaoke bar)",,,
ODD28,Consumption locations,"At a special event (e.g., sports, music concert)",,,
ODD29,Consumption locations,Somewhere else,,,
relevant_location,Consumption locations,,,,
ODD3,Consumption locations,What was the main thing you were doing?  ,,,
ODD4_1,ODD4. Time of day,Time from,,,
ODD4_2,ODD4. Time of day,Time to,,,
ODD501,Type of alcholos,White Wine,,,
ODD502,Type of alcholos,,,,
ODD503,Type of alcholos,Red Wine,,,
ODD504,Type of alcholos,Rosé Wine,,,
ODD505,Type of alcholos,Sparkling Wine / Champagne,,,
ODD506,Type of alcholos,Canned Wine / Wine Spritzer,,,
ODD507,Type of alcholos,Boxed Wine / Bagged Wine,,,
ODD508,Type of alcholos,Another type of wine,,,
ODD509,Type of alcholos,Hard Cider ,,,
ODD510,Type of alcholos,Flavored malt-based beverage,,,
ODD511,Type of alcholos,Hard Tea,,,
ODD512,Type of alcholos,Hard Soda,,,
ODD513,Type of alcholos,Chelada,,,
ODD514,Type of alcholos,"Ready to Drink spirits mix (e.g., Rum & Coke in a can, bottle or pouch)",,,
ODD515,Type of alcholos,Hard Kombucha,,,
ODD516,Type of alcholos,"Another type of Ready to Drink / Premixed Alcoholic Beverage in a can, bottle or pouch (excluding Hard Seltzers)",,,
ODD517,Type of alcholos,Non-alcoholic Beer,,,
ODD518,Type of alcholos,Hard Seltzer (e.g. Spiked sparkling water with a hint of flavor),,,
ODD519,Type of alcholos,Specialty Cocktail with multiple ingredients,,,
ODD520,Type of alcholos,Gin,,,
ODD521,Type of alcholos,Vodka,,,
ODD522,Type of alcholos,Rum,,,
ODD523,Type of alcholos,Tequila,,,
ODD524,Type of alcholos,"Whiskey, Bourbon and Rye",,,
ODD525,Type of alcholos,Liqueur,,,
ODD526,Type of alcholos,Other type of Spirit,,,
DeepDiveCategory1,,,,,
DeepDiveCategory2,,,,,
DeepDiveCategory3,,,,,
DeepDiveCategory4,,,,,
DeepDiveCategory5,,,,,
DeepDiveCategory6,,,,,
DeepDiveCategory7,,,,,
DeepDiveCategory8,,,,,
ODD6a01,Beer brands consumed,Beck's Pils / Beck's,,,
ODD6a02,Beer brands consumed,Blue Moon,,,
ODD6a03,Beer brands consumed,Bud Light,,,
ODD6a04,Beer brands consumed,Bud Light Lime ,,,
ODD6a05,Beer brands consumed,Bud Light Platinum ,,,
ODD6a06,Beer brands consumed,Budweiser,,,
ODD6a07,Beer brands consumed,Busch,,,
ODD6a08,Beer brands consumed,Busch Light,,,
ODD6a09,Beer brands consumed,Coors Light,,,
ODD6a10,Beer brands consumed,Coors Original,,,
ODD6a11,Beer brands consumed,Corona Extra ,,,
ODD6a12,Beer brands consumed,Corona Premier ,,,
ODD6a13,Beer brands consumed,Dos Equis,,,
ODD6a14,Beer brands consumed,Estrella Jalisco,,,
ODD6a15,Beer brands consumed,Goose Island,,,
ODD6a16,Beer brands consumed,Guinness,,,
ODD6a17,Beer brands consumed,Heineken,,,
ODD6a18,Beer brands consumed,Hoegaarden,,,
ODD6a19,Beer brands consumed,Keystone Light,,,
ODD6a20,Beer brands consumed,Kona ,,,
ODD6a21,Beer brands consumed,Michelob ULTRA ,,,
ODD6a22,Beer brands consumed,Michelob ULTRA Infusions,,,
ODD6a23,Beer brands consumed,Michelob ULTRA Pure Gold ,,,
ODD6a24,Beer brands consumed,Miller High Life / Miller High Life Light,,,
ODD6a25,Beer brands consumed,Miller Lite,,,
ODD6a26,Beer brands consumed,Modelo Especial,,,
ODD6a27,Beer brands consumed,Natural Light (also known as Natty Light),,,
ODD6a28,Beer brands consumed,Pabst Blue Ribbon,,,
ODD6a29,Beer brands consumed,Rolling Rock,,,
ODD6a30,Beer brands consumed,Samuel Adams / Samuel Adams Light,,,
ODD6a31,Beer brands consumed,Stella Artois,,,
ODD6a32,Beer brands consumed,Stella Solstice Lager ,,,
ODD6a33,Beer brands consumed,Tecate,,,
ODD6a34,Beer brands consumed,Yuengling,,,
ODD6a35,Beer brands consumed,Other Craft / Local beer,,,
ODD6a36,Beer brands consumed,Another Beer brand,,,
ODD6b01,Canned Wine / Wine Spritzer brands consumed,BABE,,,
ODD6b02,Canned Wine / Wine Spritzer brands consumed,Barefoot Canned Wine,,,
ODD6b03,Canned Wine / Wine Spritzer brands consumed,Bartles & Jaymes,,,
ODD6b04,Canned Wine / Wine Spritzer brands consumed,Butter,,,
ODD6b05,Canned Wine / Wine Spritzer brands consumed,Crafters Union,,,
ODD6b06,Canned Wine / Wine Spritzer brands consumed,Cupcake,,,
ODD6b07,Canned Wine / Wine Spritzer brands consumed,Dark Horse,,,
ODD6b08,Canned Wine / Wine Spritzer brands consumed,House Wine,,,
ODD6b09,Canned Wine / Wine Spritzer brands consumed,Kim Crawford,,,
ODD6b10,Canned Wine / Wine Spritzer brands consumed,MOVO Wine Spritzer,,,
ODD6b11,Canned Wine / Wine Spritzer brands consumed,Sofia,,,
ODD6b12,Canned Wine / Wine Spritzer brands consumed,Underwood Canned Wine,,,
